city,city_raw,condition_id,question,target_date,fetched_at,days_ahead,forecast_mu,forecast_sigma,forecast_nu,sigma_boost,sigma_source,forecast_prob,market_prob,market_prob_raw,edge,abs_edge,bet_side,our_prob,their_prob,ema_momentum,total_drift,last_delta,forecast_var,volume_recency,market_mkt_mom,hours_since_move,is_stale,pmf_consistency,pmf_sum_dev,liquidity,volume_24h,n_exact_bins,market_mode_c,mode_shift_c,bin_temp_c,alpha_score,kelly,ev_per_dollar,group_key,forecast_floor,forecast_ceiling,temp_lo_c,temp_hi_c,model_prob_side,shrink_weight,bucket,live_eligible
Chicago,chicago,0xdc5b98a04a5336166805bfb299fa75e3092c2d2b75f61314cd7cea31660c7954,Will the highest temperature in Chicago be between 62-63°F on March 20?,2026-03-20,2026-03-17 23:11:25.584118+00:00,2.03,20.09,2.043,11.9,0.209,emos_v2,0.0595,0.16,0.16,0.1005,0.1005,No,0.9405,0.84,0.0,0.0,0.0,0.0,0.969,0.0,0.0,False,,0.84,1445.5233,949.7203780000002,0,16.944444444444443,3.15,16.944444444444443,0.028503,0.08,0.1196,chicago|2026-03-20,,,16.667,17.222,0.9405,1.0,Chicago|2d+,False
Chicago,chicago,0x3478961cbf23847638cacdde7406b4cbea14da83ca8b68dae420e993c3b44ed9,Will the highest temperature in Chicago be between 50-51°F on March 19?,2026-03-19,2026-03-17 23:11:25.584217+00:00,1.03,10.64,1.606,7.4,0.0,emos_v2,0.2919,0.225,0.225,0.0669,0.0669,Yes,0.2919,0.225,0.0,0.0,0.0,0.0,0.915,0.0,0.0,False,,0.6975,1499.5902,841.2329680000003,0,10.277777777777779,0.37,10.277777777777779,0.031522,0.04106356155365372,0.2971,chicago|2026-03-19,,,10.0,10.556,0.2919,1.0,Chicago|1d,True
Chicago,chicago,0xdc5b98a04a5336166805bfb299fa75e3092c2d2b75f61314cd7cea31660c7954,Will the highest temperature in Chicago be between 62-63°F on March 20?,2026-03-20,2026-03-17 23:21:40.664373+00:00,2.03,20.09,2.043,11.9,0.209,emos_v2,0.0595,0.145,0.145,0.0855,0.0855,No,0.9405,0.855,0.0,0.0,0.0,0.0,0.969,-0.015,0.17,False,,0.855,1456.5639,956.7103780000002,0,16.944444444444443,3.15,16.944444444444443,0.024272,0.08,0.1,chicago|2026-03-20,,,16.667,17.222,0.9405,1.0,Chicago|2d+,False
Chicago,chicago,0x3478961cbf23847638cacdde7406b4cbea14da83ca8b68dae420e993c3b44ed9,Will the highest temperature in Chicago be between 50-51°F on March 19?,2026-03-19,2026-03-17 23:21:40.664506+00:00,1.03,10.64,1.606,7.4,0.0,emos_v2,0.2919,0.2,0.2,0.0919,0.0919,Yes,0.2919,0.2,0.0,0.0,0.0,0.0,0.915,-0.025,0.0,False,,0.7295,1505.9539,841.2329680000003,0,10.277777777777779,0.37,10.277777777777779,0.043325,0.05563112244897959,0.4593,chicago|2026-03-19,,,10.0,10.556,0.2919,1.0,Chicago|1d,True
Chicago,chicago,0xe4c5335bb54274a49204880da50bf1b75a2b05b36a87c6b8dd7c96a833644b3f,Will the highest temperature in Chicago be between 72-73°F on March 22?,2026-03-22,2026-03-18 18:03:06.717443+00:00,3.25,23.34,2.608,5.9,0.391,emos_v2,0.1814,0.03,0.03,0.1514,0.1514,Yes,0.1814,0.03,2.225,8.9,0.0,23.763,1.0,0.0,0.0,False,0.0,0.97,1633.77758,866.227602,0,22.5,0.84,22.5,0.024715,0.07778289501367558,5.0458,chicago|2026-03-22,,,22.222,22.778,0.1814,1.0,Chicago|2d+,False
Chicago,chicago,0x09a0676f20009e32816e2b1a35311a4ddcddaac3ee31e6803afd4b1e12545758,Will the highest temperature in Chicago be between 46-47°F on March 19?,2026-03-19,2026-03-19 07:20:07.131056+00:00,0.0,7.36,1.606,7.4,0.0,emos_v2,0.2655,0.034,0.034,0.2315,0.2315,Yes,0.2655,0.034,0.2,-3.4,0.0,6.5924,0.768,0.0,0.0,False,,0.8955,1161.37229,5852.223133999996,0,9.166666666666668,-1.81,8.055555555555555,0.301495,0.08,6.8086,chicago|2026-03-19,,,7.778,8.333,0.2655,1.0,Chicago|same-day,False
Chicago,chicago,0x650119355abedad852e192af9d1a4076d4fe7eb71fb87fe3ea97391810fe1e52,Will the highest temperature in Chicago be between 70-71°F on March 21?,2026-03-21,2026-03-19 12:03:02.016031+00:00,1.5,16.92,1.606,7.4,0.203,emos_v2,0.0079,0.135,0.135,0.1271,0.1271,No,0.9921,0.865,0.1,-0.1,-0.5,2.3927,0.591,0.0,0.0,False,,0.865,1412.87,425.154199,0,21.38888888888889,-4.47,21.38888888888889,0.038431,0.08,0.1469,chicago|2026-03-21,,,21.111,21.667,0.9921,1.0,Chicago|1d,True
Chicago,chicago,0x650119355abedad852e192af9d1a4076d4fe7eb71fb87fe3ea97391810fe1e52,Will the highest temperature in Chicago be between 70-71°F on March 21?,2026-03-21,2026-03-19 18:03:24.624858+00:00,1.25,17.88,1.606,7.4,0.225,emos_v2,0.0234,0.12,0.12,0.0966,0.0966,No,0.9766,0.88,0.55,0.9,1.0,2.3825,0.605,-0.015,6.01,True,,0.795,1395.414,509.709596,0,21.38888888888889,-3.5,21.38888888888889,0.028368,0.08,0.1098,chicago|2026-03-21,,,21.111,21.667,0.9766,1.0,Chicago|1d,True
Chicago,chicago,0x99269874752dedb9099f4b1b40f87655786d900add0b635d4f770c02e4dd0a59,Will the highest temperature in Chicago be between 72-73°F on March 21?,2026-03-21,2026-03-19 18:03:24.624858+00:00,1.25,17.88,1.606,7.4,0.225,emos_v2,0.0067,0.085,0.085,0.0783,0.0783,No,0.9933,0.915,0.55,0.9,1.0,2.3825,0.695,0.0,0.0,False,,0.795,1640.3958,549.315383,0,21.38888888888889,-3.5,22.5,0.027613,0.08,0.0855,chicago|2026-03-21,,,22.222,22.778,0.9933,1.0,Chicago|1d,True
Chicago,chicago,0x7a9200694c876ec3579d4b096c4a4167a424e92dc1d176bcc3c4e28093a6709d,Will the highest temperature in Chicago be 35°F or below on March 23?,2026-03-23,2026-03-20 06:03:03.140438+00:00,2.75,4.37,2.608,5.9,0.0,emos_v2,0.1488,0.025,0.025,0.1238,0.1238,Yes,0.1488,0.025,-0.4906,1.3,-1.0,2.9446,1.0,0.0,0.0,False,0.0,0.0,1043.14619,992.776645,0,4.3669717186455665,0.0,1.6666666666666667,0.018492,0.06326446886446888,4.9501,chicago|2026-03-23,,,,,0.1488,1.0,Chicago|2d+,False
Chicago,chicago,0x2ea87293c60b65bcb689674be89c5204df75a15f46302e57ec157e81497425a0,Will the highest temperature in Chicago be 59°F or below on March 21?,2026-03-21,2026-03-20 06:03:03.140460+00:00,0.75,17.01,1.606,7.4,0.222,emos_v2,0.122,0.0245,0.0245,0.0975,0.0975,Yes,0.122,0.0245,-0.175,0.0,-0.9,2.1462,0.732,0.0,0.0,False,0.0,0.0,2837.33606,6958.710058999998,0,17.014869875004734,0.0,15.0,0.053111,0.04974935930292157,3.9795,chicago|2026-03-21,,,,,0.122,1.0,Chicago|1d,True
Chicago,chicago,0x8934d42f07c856be4bbee610bbe1e1ae63b25cdaf629059247f923783dcfe7ea,Will the highest temperature in Chicago be between 42-43°F on March 23?,2026-03-23,2026-03-21 12:03:05.677685+00:00,1.5,4.07,1.606,7.4,0.0,emos_v2,0.1374,0.285,0.285,0.1476,0.1476,No,0.8626,0.715,0.1256,1.3,0.4,2.0649,0.554,0.0,0.0,False,,0.546,1107.7472,382.599581,0,5.833333333333333,-1.76,5.833333333333333,0.045121,0.08,0.2064,chicago|2026-03-23,,,5.556,6.111,0.8626,1.0,Chicago|1d,True
Chicago,chicago,0x41440a76bfdd349cc310216698117f9ffe50d81a782ce6eb1256559e690fc635,Will the highest temperature in Chicago be 63°F or below on March 22?,2026-03-22,2026-03-21 12:03:05.677551+00:00,0.5,14.41,1.606,7.4,0.144,emos_v2,0.9716,0.595,0.595,0.3766,0.3766,Yes,0.9716,0.595,-0.3369,-0.4,0.5,20.478,0.463,0.0,0.0,False,0.0,0.0,2022.669,3746.202910999999,0,14.406513929400273,0.0,17.22222222222222,0.187936,0.08,0.633,chicago|2026-03-22,,,,,0.9716,1.0,Chicago|same-day,False
Chicago,chicago,0xd9154b4d4ac91c09dd10698b3a047eb3a3b319320799f0f77d0f69da213d96c7,Will the highest temperature in Chicago be between 46-47°F on March 23?,2026-03-23,2026-03-21 18:03:08.432351+00:00,1.25,4.17,1.606,7.4,0.0,emos_v2,0.0153,0.1945,0.1945,0.1792,0.1792,No,0.9847,0.8055,0.1128,1.4,0.1,1.9292,0.67,0.045,0.0,False,,0.2105,1195.96223,624.199433,0,6.944444444444445,-2.77,8.055555555555555,0.06431,0.08,0.2225,chicago|2026-03-23,,,7.778,8.333,0.9847,1.0,Chicago|1d,True
Chicago,chicago,0xabda1c2d9f48f9a87f5ad08a33730e0e171a2ffe657264f60184e5c5506c540a,Will the highest temperature in Chicago be between 48-49°F on March 23?,2026-03-23,2026-03-21 18:03:08.432351+00:00,1.25,4.17,1.606,7.4,0.0,emos_v2,0.0044,0.075,0.075,0.0706,0.0706,No,0.9956,0.925,0.1128,1.4,0.1,1.9292,0.606,-0.01,48.0,True,,0.2105,1309.66036,463.238726,0,6.944444444444445,-2.77,9.166666666666668,0.021789,0.08,0.0763,chicago|2026-03-23,,,8.889,9.444,0.9956,1.0,Chicago|1d,True
Chicago,chicago,0x13c1ebd8abf27e0d719efbefb212cb4ab28f5ae0be46afd516c274d640be93f4,Will the highest temperature in Chicago be between 44-45°F on March 23?,2026-03-23,2026-03-21 18:03:08.432351+00:00,1.25,4.17,1.606,7.4,0.0,emos_v2,0.0519,0.26,0.26,0.2081,0.2081,No,0.9481,0.74,0.1128,1.4,0.1,1.9292,0.59,-0.035,0.0,False,,0.2105,1220.7383,435.719997,0,6.944444444444445,-2.77,6.944444444444445,0.074879,0.08,0.2812,chicago|2026-03-23,,,6.667,7.222,0.9481,1.0,Chicago|1d,True
Chicago,chicago,0x0e7633f9535f25fbff483b2a5c343ea57d6b8e71c45c7483fb91f814e7f6ea5b,Will the highest temperature in Chicago be between 54-55°F on March 25?,2026-03-25,2026-03-22 06:03:07.646751+00:00,2.75,17.66,2.608,5.9,0.088,emos_v2,0.0186,0.1,0.1,0.0814,0.0814,No,0.9814,0.9,1.6189,10.3,4.2,10.3403,1.0,0.0,0.0,False,,0.575,1405.9824,843.1440010000002,0,13.61111111111111,4.05,12.5,0.010745,0.08,0.0904,chicago|2026-03-25,,,12.222,12.778,0.9814,1.0,Chicago|2d+,False
Chicago,chicago,0xd7e69607accb1e14cbb9a0ea73c2d4169a0d36be75fe25f5a7bfcb5d938407eb,Will the highest temperature in Chicago be between 56-57°F on March 25?,2026-03-25,2026-03-22 06:03:07.646751+00:00,2.75,17.66,2.608,5.9,0.088,emos_v2,0.0388,0.19,0.19,0.1512,0.1512,No,0.9612,0.81,1.6189,10.3,4.2,10.3403,1.0,0.0,0.0,False,,0.575,1286.1338,681.6679590000001,0,13.61111111111111,4.05,13.61111111111111,0.019732,0.08,0.1867,chicago|2026-03-25,,,13.333,13.889,0.9612,1.0,Chicago|2d+,False
Chicago,chicago,0xf300c03d93bfcf057565a9d512a581443e2d3fbd27513fd5a1a5a9e554efb080,Will the highest temperature in Chicago be between 62-63°F on March 26?,2026-03-26,2026-03-24 06:03:00.933435+00:00,1.75,25.66,2.043,11.9,0.228,emos_v2,0.0003,0.105,0.105,0.1047,0.1047,No,0.9997,0.895,2.0501,11.3,1.2,13.3454,0.709,-0.14,0.0,False,,0.645,1473.0869,552.5991010000001,0,21.38888888888889,4.27,16.944444444444443,0.022313,0.08,0.117,chicago|2026-03-26,,,16.667,17.222,0.9997,1.0,Chicago|2d+,False
Chicago,chicago,0x2f02106fe0df68f998f733bb40d225eea7d129c18c5712f3e957436488656828,Will the highest temperature in Chicago be between 70-71°F on March 26?,2026-03-26,2026-03-24 06:03:00.933435+00:00,1.75,25.66,2.043,11.9,0.228,emos_v2,0.0229,0.135,0.135,0.1121,0.1121,No,0.9771,0.865,2.0501,11.3,1.2,13.3454,0.722,0.0,0.0,False,,0.645,1065.3952,532.421959,0,21.38888888888889,4.27,21.38888888888889,0.022917,0.08,0.1296,chicago|2026-03-26,,,21.111,21.667,0.9771,1.0,Chicago|2d+,False
Chicago,chicago,0xf300c03d93bfcf057565a9d512a581443e2d3fbd27513fd5a1a5a9e554efb080,Will the highest temperature in Chicago be between 62-63°F on March 26?,2026-03-26,2026-03-24 12:03:07.148631+00:00,1.5,25.5,1.606,7.4,0.406,emos_v2,0.0001,0.11,0.11,0.1099,0.1099,No,0.9999,0.89,1.1251,11.5,0.2,15.915,0.532,-0.135,6.0,True,0.9875,0.679,1086.507,453.636129,0,21.38888888888889,4.12,16.944444444444443,0.021539,0.08,0.1234,chicago|2026-03-26,,,16.667,17.222,0.9999,1.0,Chicago|1d,True
Chicago,chicago,0x2bfbf62c5be60056af5408d32cabcdc638d2b65b99342dfb1d755ea214efbc55,Will the highest temperature in Chicago be between 74-75°F on March 26?,2026-03-26,2026-03-24 18:03:07.135133+00:00,1.25,23.48,1.606,7.4,0.397,emos_v2,0.3014,0.0765,0.0765,0.2249,0.2249,Yes,0.3014,0.0765,-0.4875,9.4,-2.1,16.6046,0.47,0.026,0.0,False,,0.4865,1904.61698,3900.236523999999,0,20.27777777777778,3.2,23.61111111111111,0.063654,0.08,2.9393,chicago|2026-03-26,,,23.333,23.889,0.3014,1.0,Chicago|1d,True
Chicago,chicago,0x77f3d311a0f076286d91c2cacbf7bbddc9a5111429bbc8fa3567592d6a8630d7,Will the highest temperature in Chicago be between 66-67°F on March 26?,2026-03-26,2026-03-24 18:03:07.135133+00:00,1.25,23.48,1.606,7.4,0.397,emos_v2,0.0095,0.15,0.15,0.1405,0.1405,No,0.9905,0.85,-0.4875,9.4,-2.1,16.6046,0.49,0.0,0.0,False,,0.4865,1530.9334,359.666235,0,20.27777777777778,3.2,19.166666666666664,0.054162,0.08,0.1653,chicago|2026-03-26,,,18.889,19.444,0.9905,1.0,Chicago|1d,True
Chicago,chicago,0xbc9a682f36c501b81a9402023851e7f132c0c2afd1025c47e0ee4cf9c0483952,Will the highest temperature in Chicago be between 68-69°F on March 26?,2026-03-26,2026-03-24 18:03:07.135133+00:00,1.25,23.48,1.606,7.4,0.397,emos_v2,0.0328,0.155,0.155,0.1222,0.1222,No,0.9672,0.845,-0.4875,9.4,-2.1,16.6046,0.514,0.0,0.0,False,,0.4865,1745.1242,373.980967,0,20.27777777777778,3.2,20.27777777777778,0.047893,0.08,0.1446,chicago|2026-03-26,,,20.0,20.556,0.9672,1.0,Chicago|1d,True
Chicago,chicago,0xa98933e8807bf6589cd7f2c0d13a316d2b135d9224f717a3f1fa37aae97200a0,Will the highest temperature in Chicago be between 76-77°F on March 26?,2026-03-26,2026-03-24 18:03:07.135133+00:00,1.25,23.48,1.606,7.4,0.397,emos_v2,0.2006,0.047,0.047,0.1536,0.1536,Yes,0.2006,0.047,-0.4875,9.4,-2.1,16.6046,0.47,0.03,0.0,False,,0.4865,1888.72888,3350.1019410000004,0,20.27777777777778,3.2,24.72222222222222,0.043428,0.08,3.2686,chicago|2026-03-26,,,24.444,25.0,0.2006,1.0,Chicago|1d,True
Chicago,chicago,0x3aa97e4bfa614db7ac07f845417da2d549fe27b9758e7c8fe97eb2215706f5ea,Will the highest temperature in Chicago be between 52-53°F on March 28?,2026-03-28,2026-03-24 18:03:07.135152+00:00,3.25,10.09,2.608,5.9,0.013,emos_v2,0.1611,0.275,0.275,0.1139,0.1139,No,0.8389,0.725,-0.2706,3.3,-1.4,7.6891,1.0,0.0,0.0,False,0.92,0.265,1365.4219,73.920476,0,11.38888888888889,-1.3,11.38888888888889,0.018174,0.08,0.1572,chicago|2026-03-28,,,11.111,11.667,0.8389,1.0,Chicago|2d+,False
Chicago,chicago,0x9a093fa355d4040bcf1410985084d61d29c968b2a9866d4b4a18b0841ee0508d,Will the highest temperature in Chicago be between 60-61°F on May 22?,2026-05-22,2026-05-21 17:20:26.585653+00:00,0.28,15.33,1.606,7.4,0.003,emos_v2,0.2822,0.0395,0.0395,0.2427,0.2427,Yes,0.2822,0.0395,-1.05,-2.1,-2.1,1.47,0.885,0.0,0.0,False,0.0,0.953,1894.13138,843.2543440000001,0,15.833333333333332,-0.51,15.833333333333332,0.197055,0.08,6.1436,chicago|2026-05-22,,,15.556,16.111,0.2822,1.0,Chicago|same-day,False
Chicago,chicago,0x5031c6f448327482cdd810e8d6e6141dbad27c7a25f259bcd2cc2568f586628e,Will the highest temperature in Chicago be between 62-63°F on May 23?,2026-05-23,2026-05-21 17:20:26.585618+00:00,1.28,23.62,1.606,7.4,0.225,emos_v2,0.0008,0.1,0.1,0.0992,0.0992,No,0.9992,0.9,3.8,7.6,7.6,19.2533,1.0,0.0,0.0,False,,0.7695,1182.311,92.05,0,16.944444444444443,6.68,16.944444444444443,0.023383,0.08,0.1102,chicago|2026-05-23,,,16.667,17.222,0.9992,1.0,Chicago|1d,True
Chicago,chicago,0x172e90ae369a6ffda982d1785059e2c6346b51f9129c1139744c72394a84e112,Will the highest temperature in Chicago be between 72-73°F on May 30?,2026-05-30,2026-05-29 10:07:00.580594+00:00,0.58,23.0,5.068,9.2,0.0,emos_v2,0.0953,0.295,0.295,0.1997,0.1997,No,0.9047,0.705,-1.65,-6.6,0.0,10.89,0.956,0.0,0.0,False,,0.64,1911.1669,909.912417,0,22.5,0.5,22.5,0.115447,0.08,0.2832,chicago|2026-05-30,,,22.222,22.778,0.9047,1.0,Chicago|1d,True
Chicago,chicago,0xf25aeda4e73cfc1dd68173fd1e24211613920973e96b58fe9fd6c6d656f9fd78,Will the highest temperature in Chicago be between 68-69°F on May 30?,2026-05-30,2026-05-29 18:35:17.996603+00:00,0.23,21.59,1.357,9.2,0.028,emos_v2,0.1953,0.12,0.12,0.0753,0.0753,Yes,0.1953,0.12,0.0625,-4.7,0.0,6.5507,0.778,0.0,0.0,False,,0.88,2653.1932,709.243889,0,20.27777777777778,1.31,20.27777777777778,0.06919,0.04166437847866421,0.6272,chicago|2026-05-30,,,20.0,20.556,0.1953,1.0,Chicago|same-day,False
Chicago,chicago,0x4b5a2cc1d5ff18274161a042f0d5232a6020eb723fd2deb018f69a25d5dbdd66,Will the highest temperature in Chicago be between 74-75°F on June 1?,2026-06-01,2026-05-30 09:53:38.111447+00:00,1.59,25.66,1.873,14.8,0.066,emos_v2,0.1247,0.27,0.27,0.1453,0.1453,No,0.8753,0.73,-0.2078,-4.0,0.0,1.647,1.0,0.0,0.0,False,,0.61,1059.8287,83.625361,0,23.61111111111111,2.05,23.61111111111111,0.056055,0.08,0.1991,chicago|2026-06-01,,,23.333,23.889,0.8753,1.0,Chicago|2d+,False
Chicago,chicago,0xd97a9f0dac26ffd57bac8d94e0c7dd6f129f4b673970cdd7df076d0e98a8ad0f,Will the highest temperature in Chicago be between 70-71°F on June 1?,2026-06-01,2026-05-30 09:53:38.111447+00:00,1.59,25.66,1.873,14.8,0.066,emos_v2,0.0179,0.12,0.12,0.1021,0.1021,No,0.9821,0.88,-0.2078,-4.0,0.0,1.647,1.0,0.0,0.0,False,,0.61,1487.9101,81.27200400000001,0,23.61111111111111,2.05,21.38888888888889,0.041143,0.08,0.1161,chicago|2026-06-01,,,21.111,21.667,0.9821,1.0,Chicago|2d+,False
Chicago,chicago,0x845e4484fe7f3fe0b4393170622433306761f6e1dc51ef853e5137d0a0a3bdfd,Will the highest temperature in Chicago be between 86-87°F on June 6?,2026-06-06,2026-06-05 15:03:01.233703+00:00,0.37,30.57,1.345,9.2,0.094,emos_v2,0.3382,0.245,0.245,0.0932,0.0932,Yes,0.3382,0.245,3.1066,2.7,3.0,15.6396,1.0,0.03,0.0,False,0.985,0.55,1329.1879,983.218889,0,30.27777777777778,0.29,30.27777777777778,0.063881,0.05953046357615894,0.3804,chicago|2026-06-06,,,30.0,30.556,0.3382,1.0,Chicago|same-day,False
Chicago,chicago,0x9a725e665f84eb0089f41b5de5cef2eb06b0cc96352f2222ce33d9a6d80bf2e4,Will the highest temperature in Chicago be between 82-83°F on June 6?,2026-06-06,2026-06-05 15:03:01.233703+00:00,0.37,30.57,1.345,9.2,0.094,emos_v2,0.052,0.205,0.205,0.153,0.153,No,0.948,0.795,3.1066,2.7,3.0,15.6396,1.0,0.0,0.0,False,0.985,0.55,1539.6353,825.408364,0,30.27777777777778,0.29,28.055555555555557,0.076323,0.08,0.1924,chicago|2026-06-06,,,27.778,28.333,0.948,1.0,Chicago|same-day,False
Chicago,chicago,0xfc2011dc5b47f0eddf93d4bb6390e5ed3b8560a4fc69a82a2c82e63315cf4874,Will the highest temperature in Chicago be between 90-91°F on June 10?,2026-06-10,2026-06-09 17:04:47.548233+00:00,0.29,34.75,1.308,9.2,0.191,emos_v2,0.0692,0.225,0.225,0.1558,0.1558,No,0.9308,0.775,0.0633,2.6,-0.6,2.26,1.0,0.0,0.0,False,,0.775,1814.8826,866.5161729999998,0,32.5,2.25,32.5,0.112725,0.08,0.201,chicago|2026-06-10,,,32.222,32.778,0.9308,1.0,Chicago|same-day,False
Chicago,chicago,0x2224ab5631cd7dfe1612e9c3fe7476fc03f23728f09097278ef7711bf3e85718,Will the highest temperature in Chicago be between 78-79°F on June 12?,2026-06-12,2026-06-11 17:53:19.970892+00:00,0.25,27.58,1.308,9.2,0.034,emos_v2,0.1257,0.19,0.19,0.0643,0.0643,No,0.8743,0.81,-1.8057,-3.7,-1.8,20.2647,1.0,0.0,0.0,False,0.9805,0.81,1153.1636,907.253248,0,25.833333333333336,1.75,25.833333333333336,0.050199,0.08,0.0794,chicago|2026-06-12,,,25.556,26.111,0.8743,1.0,Chicago|same-day,False
Chicago,chicago,0x5f08514bf61d5b94eb22474d4eaa2707a68c8b2cb38519e6898fa61a373cdd1c,Will the highest temperature in Chicago be between 68-69°F on June 23?,2026-06-23,2026-06-22 15:24:08.836547+00:00,0.36,22.34,2.6,9.2,0.0,emos_v2,0.1222,0.04,0.04,0.0822,0.0822,Yes,0.1222,0.04,-5.225,-9.1,-11.0,20.485,1.0,0.0,0.0,False,0.0,0.96,2152.03954,292.88717599999995,0,20.27777777777778,2.07,20.27777777777778,0.056238,0.04243928571428571,2.0538,chicago|2026-06-23,,,20.0,20.556,0.1222,1.0,Chicago|same-day,False
Chicago,chicago,0xa76fec5227da4c16f2049e361a2d453cf7b7177a5143544f65dd15bff9e55941,Will the highest temperature in Chicago be between 80-81°F on June 25?,2026-06-25,2026-06-25 06:44:50.011649+00:00,0.0,26.19,1.308,9.2,0.019,emos_v2,0.2912,0.195,0.195,0.0962,0.0962,Yes,0.2912,0.195,-0.4531,-7.9,0.0,8.1657,0.859,0.0,0.0,False,,0.7715,1994.0837,821.188839,0,26.944444444444443,-0.75,26.944444444444443,0.086259,0.05799954366839904,0.4936,chicago|2026-06-25,,,26.667,27.222,0.2912,1.0,Chicago|same-day,False
Chicago,chicago,0x6c73c87e39296a0098b3f8ed5d2f6937e5fa99b46c74b9836f3d4d6737ee57b8,Will the highest temperature in Chicago be between 82-83°F on June 25?,2026-06-25,2026-06-25 06:44:50.011649+00:00,0.0,26.19,1.308,9.2,0.019,emos_v2,0.1111,0.0335,0.0335,0.0776,0.0776,Yes,0.1111,0.0335,-0.4531,-7.9,0.0,8.1657,0.934,0.0,0.0,False,,0.7715,1961.3561,846.2646329999999,0,26.944444444444443,-0.75,28.055555555555557,0.069438,0.039830461796720756,2.3152,chicago|2026-06-25,,,27.778,28.333,0.1111,1.0,Chicago|same-day,False
Chicago,chicago,0x8e12f840e566fb24f5a71d6928238398cf2e99639aa3919789074211e16860bc,Will the highest temperature in Chicago be between 88-89°F on June 28?,2026-06-28,2026-06-28 02:12:36.512702+00:00,0.0,29.48,2.589,9.2,0.175,emos_v2,0.1296,0.065,0.065,0.0646,0.0646,Yes,0.1296,0.065,-0.1656,-0.4,-0.9,0.9057,0.979,0.0,0.0,False,,0.9255,2031.9096,845.701999,0,31.38888888888889,-1.91,31.38888888888889,0.114404,0.033928014842300555,0.9935,chicago|2026-06-28,,,31.111,31.667,0.1296,1.0,Chicago|same-day,False
Chicago,chicago,0xc7525406fc16ec5e4e7206d0151c16e9e52988737c6cc00215e07f4224c32c12,Will the highest temperature in Chicago be between 96-97°F on July 2?,2026-07-02,2026-07-01 17:10:10.458454+00:00,0.28,34.05,1.308,9.2,0.112,emos_v2,0.1214,0.24,0.24,0.1186,0.1186,No,0.8786,0.76,-0.4683,-0.5,-0.9,2.6906,1.0,0.0,0.0,False,,0.552,3154.7067,956.219302,0,35.833333333333336,-1.78,35.833333333333336,0.15691,0.08,0.156,chicago|2026-07-02,,,35.556,36.111,0.8786,1.0,Chicago|same-day,False
Chicago,chicago,0x47070716fe3014979b623f9e2ca4b401a0186fc14c0268437cc421b516efad98,Will the highest temperature in Chicago be between 92-93°F on July 2?,2026-07-02,2026-07-01 17:10:10.458454+00:00,0.28,34.05,1.308,9.2,0.112,emos_v2,0.3329,0.195,0.195,0.1379,0.1379,Yes,0.3329,0.195,-0.4683,-0.5,-0.9,2.6906,1.0,0.0,0.0,False,,0.552,3925.4497,879.4195249999999,0,35.833333333333336,-1.78,33.611111111111114,0.133742,0.08,0.7074,chicago|2026-07-02,,,33.333,33.889,0.3329,1.0,Chicago|same-day,False
Chicago,chicago,0xeb983e014db94e01fde4b795defb9ec0e0cccc3576c25c7e8e40815d47047e66,Will the highest temperature in Chicago be between 90-91°F on July 4?,2026-07-04,2026-07-03 14:24:38.895202+00:00,0.4,31.61,2.638,9.2,0.106,emos_v2,0.1693,0.0285,0.0285,0.1408,0.1408,Yes,0.1693,0.0285,-0.4034,6.7,-1.6,11.6584,1.0,0.0,0.0,False,0.9985,0.6165,3303.43127,992.3976470000002,0,29.166666666666664,2.45,32.5,0.096972,0.07221659174220382,4.941,chicago|2026-07-04,,,32.222,32.778,0.1693,1.0,Chicago|same-day,False
Chicago,chicago,0xe8a0ad48105e08e8c6c70d004b681c94ac413c32311cc529bfadb1a399cd2184,Will the highest temperature in Chicago be between 84-85°F on July 4?,2026-07-04,2026-07-03 14:24:38.895202+00:00,0.4,31.61,2.638,9.2,0.106,emos_v2,0.1043,0.355,0.355,0.2507,0.2507,No,0.8957,0.645,-0.4034,6.7,-1.6,11.6584,1.0,0.0,0.0,False,0.9985,0.6165,4312.1244,9328.889023,0,29.166666666666664,2.45,29.166666666666664,0.249444,0.08,0.3887,chicago|2026-07-04,,,28.889,29.444,0.8957,1.0,Chicago|same-day,False
Chicago,chicago,0xe8a0ad48105e08e8c6c70d004b681c94ac413c32311cc529bfadb1a399cd2184,Will the highest temperature in Chicago be between 84-85°F on July 4?,2026-07-04,2026-07-03 16:04:07.264953+00:00,0.33,32.53,1.856,9.2,0.0,emos_v2,0.0402,0.355,0.355,0.3148,0.3148,No,0.9598,0.645,-2.7017,1.7,-5.0,12.0985,1.0,0.0,1.66,False,0.9985,0.645,3877.6694,9409.893637,0,29.166666666666664,3.36,29.166666666666664,0.335444,0.08,0.4881,chicago|2026-07-04,,,28.889,29.444,0.9598,1.0,Chicago|same-day,False
Chicago,chicago,0x39ef08df1138365c6a61c0ae07c56f35101b629a6c2bfea2b1933e613bd8a8db,Will the highest temperature in Chicago be between 76-77°F on July 5?,2026-07-05,2026-07-04 20:04:10.050544+00:00,0.16,27.21,1.642,9.2,0.0,emos_v2,0.0752,0.325,0.325,0.2498,0.2498,No,0.9248,0.675,-1.9141,-2.1,-1.4,14.2369,1.0,0.0,0.0,False,,0.67,4547.315,791.2422,0,24.72222222222222,2.49,24.72222222222222,0.341027,0.08,0.37,chicago|2026-07-05,,,24.444,25.0,0.9248,1.0,Chicago|same-day,False
