city,ticker,floor_strike,target_date,end_period_ts,open_dollars,high_dollars,low_dollars,close_dollars,yes_bid_close,yes_ask_close,volume,fetched_at_utc
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786103220,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786103280,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786103340,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786103400,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786103460,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786103520,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786103580,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786103640,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786103700,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786103760,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786103820,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786103880,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786104000,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786104060,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786104120,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B96.5,96.0,2026-08-08,1786104180,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B94.5,94.0,2026-08-08,1786101240,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B94.5,94.0,2026-08-08,1786101360,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B94.5,94.0,2026-08-08,1786101420,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B94.5,94.0,2026-08-08,1786101480,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B94.5,94.0,2026-08-08,1786101600,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B94.5,94.0,2026-08-08,1786101660,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B94.5,94.0,2026-08-08,1786101720,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B94.5,94.0,2026-08-08,1786101780,,,,,,,,2026-08-07T12:05:45.310042+00:00
houston,KXHIGHTHOU-26AUG07-B94.5,94.0,2026-08-08,1786101840,,,,,,,,2026-08-07T12:05:45.310042+00:00
