fetched_at_utc,city,ticker,yes_best_bid,yes_best_ask,yes_ask_depth_usdc,yes_vwap_buy_100,no_best_bid,no_best_ask,no_ask_depth_usdc,no_vwap_buy_100
2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU-26AUG04-T95,0.1,0.12,1738.66,0.183239,0.88,0.9,1960.25,0.938623
2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU-26AUG04-T102,,0.01,1684.39,0.053608,0.99,,0.0,
2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU-26AUG04-B99.5,0.1,0.11,1801.29,0.16519,0.89,0.9,823.91,0.96352
2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU-26AUG04-B97.5,0.4,0.41,2095.67,0.443297,0.59,0.6,2162.58,0.610116
2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU-26AUG04-B95.5,0.39,0.4,2234.06,0.4389,0.6,0.61,2414.84,0.611451
2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU-26AUG04-B101.5,,0.02,1606.73,0.093787,0.98,,0.0,
2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU-26AUG03-T97,,0.01,3181.56,0.01,0.99,,0.0,
2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU-26AUG03-T104,,0.01,1242.65,0.01,0.99,,0.0,
2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU-26AUG03-B99.5,0.01,0.02,1617.2,0.118836,0.98,0.99,258.52,0.99
2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU-26AUG03-B97.5,0.94,0.98,635.47,0.98,0.02,0.06,770.34,0.097484
2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU-26AUG03-B103.5,,0.01,1185.23,0.01,0.99,,0.0,
2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU-26AUG03-B101.5,,0.01,1325.42,0.01,0.99,,0.0,
2026-08-04T13:13:22.773018+00:00,Houston,KXHIGHTHOU-26AUG05-T94,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,Houston,KXHIGHTHOU-26AUG05-T101,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,Houston,KXHIGHTHOU-26AUG05-B98.5,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,Houston,KXHIGHTHOU-26AUG05-B96.5,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,Houston,KXHIGHTHOU-26AUG05-B94.5,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,Houston,KXHIGHTHOU-26AUG05-B100.5,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,Houston,KXHIGHTHOU-26AUG04-T95,0.02,0.03,1791.55,0.142528,0.97,0.98,894.86,0.98
2026-08-04T13:13:22.773018+00:00,Houston,KXHIGHTHOU-26AUG04-T102,,0.01,1678.35,0.035509,0.99,,0.0,
2026-08-04T13:13:22.773018+00:00,Houston,KXHIGHTHOU-26AUG04-B99.5,0.01,0.02,1671.32,0.138779,0.98,0.99,766.26,0.99
2026-08-04T13:13:22.773018+00:00,Houston,KXHIGHTHOU-26AUG04-B97.5,0.7,0.72,1309.8,0.760786,0.28,0.3,2031.53,0.394478
2026-08-04T13:13:22.773018+00:00,Houston,KXHIGHTHOU-26AUG04-B95.5,0.28,0.3,2246.81,0.334702,0.7,0.72,1840.81,0.751474
2026-08-04T13:13:22.773018+00:00,Houston,KXHIGHTHOU-26AUG04-B101.5,,0.01,1705.65,0.055117,0.99,,0.0,
2026-08-04T15:40:46.717612+00:00,Houston,KXHIGHTHOU-26AUG05-T94,0.03,0.04,1720.13,0.120015,0.96,0.97,1133.63,0.979412
2026-08-04T15:40:46.717612+00:00,Houston,KXHIGHTHOU-26AUG05-T101,,0.01,1638.53,0.064518,0.99,,0.0,
2026-08-04T15:40:46.717612+00:00,Houston,KXHIGHTHOU-26AUG05-B98.5,0.07,0.1,1701.33,0.231493,0.9,0.93,759.04,0.938498
2026-08-04T15:40:46.717612+00:00,Houston,KXHIGHTHOU-26AUG05-B96.5,0.46,0.49,1950.61,0.514536,0.51,0.54,1839.45,0.54672
2026-08-04T15:40:46.717612+00:00,Houston,KXHIGHTHOU-26AUG05-B94.5,0.33,0.34,1875.0,0.372787,0.66,0.67,2321.24,0.687758
2026-08-04T15:40:46.717612+00:00,Houston,KXHIGHTHOU-26AUG05-B100.5,0.01,0.02,1586.22,0.082642,0.98,0.99,80.19,
2026-08-04T15:40:46.717612+00:00,Houston,KXHIGHTHOU-26AUG04-T95,,0.01,1128.97,0.139953,0.99,,0.0,
2026-08-04T15:40:46.717612+00:00,Houston,KXHIGHTHOU-26AUG04-T102,,0.01,1086.93,0.031134,0.99,,0.0,
2026-08-04T15:40:46.717612+00:00,Houston,KXHIGHTHOU-26AUG04-B99.5,0.04,0.05,1295.0,0.120733,0.95,0.96,266.84,0.978024
2026-08-04T15:40:46.717612+00:00,Houston,KXHIGHTHOU-26AUG04-B97.5,0.74,0.75,2735.08,0.752802,0.25,0.26,819.19,0.301529
2026-08-04T15:40:46.717612+00:00,Houston,KXHIGHTHOU-26AUG04-B95.5,0.18,0.19,1323.36,0.230765,0.81,0.82,854.11,0.856749
2026-08-04T15:40:46.717612+00:00,Houston,KXHIGHTHOU-26AUG04-B101.5,,0.01,1050.2,0.046909,0.99,,0.0,
2026-08-04T18:09:24.965625+00:00,Houston,KXHIGHTHOU-26AUG05-T94,0.02,0.04,1807.26,0.118276,0.96,0.98,1110.18,0.98
2026-08-04T18:09:24.965625+00:00,Houston,KXHIGHTHOU-26AUG05-T101,,0.01,1756.27,0.037896,0.99,,0.0,
2026-08-04T18:09:24.965625+00:00,Houston,KXHIGHTHOU-26AUG05-B98.5,0.07,0.09,1758.26,0.216563,0.91,0.93,918.18,0.958945
2026-08-04T18:09:24.965625+00:00,Houston,KXHIGHTHOU-26AUG05-B96.5,0.5,0.54,2106.29,0.549127,0.46,0.5,1993.48,0.523653
2026-08-04T18:09:24.965625+00:00,Houston,KXHIGHTHOU-26AUG05-B94.5,0.33,0.34,2146.31,0.368939,0.66,0.67,2561.16,0.689396
2026-08-04T18:09:24.965625+00:00,Houston,KXHIGHTHOU-26AUG05-B100.5,0.01,0.02,1658.49,0.078964,0.98,0.99,87.48,
2026-08-04T18:09:24.965625+00:00,Houston,KXHIGHTHOU-26AUG04-T95,0.02,0.04,1096.97,0.17824,0.96,0.98,1.82,
2026-08-04T18:09:24.965625+00:00,Houston,KXHIGHTHOU-26AUG04-T102,,0.01,1071.06,0.033925,0.99,,0.0,
2026-08-04T18:09:24.965625+00:00,Houston,KXHIGHTHOU-26AUG04-B99.5,0.04,0.06,1221.65,0.147555,0.94,0.96,84.0,
2026-08-04T18:09:24.965625+00:00,Houston,KXHIGHTHOU-26AUG04-B97.5,0.7,0.71,1095.29,0.76691,0.29,0.3,838.41,0.404885
2026-08-04T18:09:24.965625+00:00,Houston,KXHIGHTHOU-26AUG04-B95.5,0.22,0.24,1212.0,0.362827,0.76,0.78,734.53,0.845056
2026-08-04T18:09:24.965625+00:00,Houston,KXHIGHTHOU-26AUG04-B101.5,,0.01,1056.62,0.048363,0.99,,0.0,
2026-08-04T20:02:48.460515+00:00,Houston,KXHIGHTHOU-26AUG05-T94,0.02,0.03,1754.09,0.119474,0.97,0.98,1026.88,0.98
2026-08-04T20:02:48.460515+00:00,Houston,KXHIGHTHOU-26AUG05-T101,,0.01,1719.94,0.038512,0.99,,0.0,
2026-08-04T20:02:48.460515+00:00,Houston,KXHIGHTHOU-26AUG05-B98.5,0.09,0.1,1662.55,0.232638,0.9,0.91,866.83,0.923047
2026-08-04T20:02:48.460515+00:00,Houston,KXHIGHTHOU-26AUG05-B96.5,0.5,0.52,1997.58,0.540115,0.48,0.5,1970.39,0.530642
2026-08-04T20:02:48.460515+00:00,Houston,KXHIGHTHOU-26AUG05-B94.5,0.33,0.34,2066.72,0.376734,0.66,0.67,2540.2,0.694971
2026-08-04T20:02:48.460515+00:00,Houston,KXHIGHTHOU-26AUG05-B100.5,0.01,0.02,1679.66,0.079688,0.98,0.99,87.48,
2026-08-04T20:02:48.460515+00:00,Houston,KXHIGHTHOU-26AUG04-T95,,0.01,1920.38,0.01,0.99,,0.0,
2026-08-04T20:02:48.460515+00:00,Houston,KXHIGHTHOU-26AUG04-T102,,0.01,1048.52,0.029205,0.99,,0.0,
2026-08-04T20:02:48.460515+00:00,Houston,KXHIGHTHOU-26AUG04-B99.5,0.02,0.04,1242.11,0.154145,0.96,0.98,24.85,
2026-08-04T20:02:48.460515+00:00,Houston,KXHIGHTHOU-26AUG04-B97.5,0.65,0.66,1147.02,0.738133,0.34,0.35,814.39,0.39388
2026-08-04T20:02:48.460515+00:00,Houston,KXHIGHTHOU-26AUG04-B95.5,0.24,0.28,1628.89,0.392025,0.72,0.76,877.5,0.789168
2026-08-04T20:02:48.460515+00:00,Houston,KXHIGHTHOU-26AUG04-B101.5,,0.01,1058.02,0.041879,0.99,,0.0,
2026-08-04T23:25:19.740726+00:00,Houston,KXHIGHTHOU-26AUG05-T94,0.03,0.04,1729.33,0.124615,0.96,0.97,670.27,0.989387
2026-08-04T23:25:19.740726+00:00,Houston,KXHIGHTHOU-26AUG05-T101,,0.01,1709.22,0.037041,0.99,,0.0,
2026-08-04T23:25:19.740726+00:00,Houston,KXHIGHTHOU-26AUG05-B98.5,0.07,0.1,1557.72,0.234904,0.9,0.93,680.93,0.968973
2026-08-04T23:25:19.740726+00:00,Houston,KXHIGHTHOU-26AUG05-B96.5,0.5,0.53,1982.74,0.552108,0.47,0.5,1878.0,0.544216
2026-08-04T23:25:19.740726+00:00,Houston,KXHIGHTHOU-26AUG05-B94.5,0.33,0.36,1893.73,0.41267,0.64,0.67,2315.1,0.68372
2026-08-04T23:25:19.740726+00:00,Houston,KXHIGHTHOU-26AUG05-B100.5,0.01,0.02,1810.13,0.073531,0.98,0.99,83.61,
2026-08-04T23:25:19.740726+00:00,Houston,KXHIGHTHOU-26AUG04-T95,,0.01,2535.53,0.01,0.99,,0.0,
2026-08-04T23:25:19.740726+00:00,Houston,KXHIGHTHOU-26AUG04-T102,,0.01,1031.23,0.01,0.99,,0.0,
2026-08-04T23:25:19.740726+00:00,Houston,KXHIGHTHOU-26AUG04-B99.5,,0.01,1346.89,0.01,0.99,,0.0,
2026-08-04T23:25:19.740726+00:00,Houston,KXHIGHTHOU-26AUG04-B97.5,,0.01,1554.03,0.01,0.99,,0.0,
2026-08-04T23:25:19.740726+00:00,Houston,KXHIGHTHOU-26AUG04-B95.5,0.99,,0.0,,,0.01,1554.36,0.01
2026-08-04T23:25:19.740726+00:00,Houston,KXHIGHTHOU-26AUG04-B101.5,,0.01,1220.01,0.01,0.99,,0.0,
2026-08-05T03:40:18.253294+00:00,Houston,KXHIGHTHOU-26AUG05-T94,0.02,0.03,1800.11,0.112261,0.97,0.98,979.82,0.98
2026-08-05T03:40:18.253294+00:00,Houston,KXHIGHTHOU-26AUG05-T101,,0.01,1776.3,0.04393,0.99,,0.0,
2026-08-05T03:40:18.253294+00:00,Houston,KXHIGHTHOU-26AUG05-B98.5,0.09,0.11,1637.76,0.195518,0.89,0.91,952.06,0.922219
2026-08-05T03:40:18.253294+00:00,Houston,KXHIGHTHOU-26AUG05-B96.5,0.53,0.54,2135.2,0.586454,0.46,0.47,2133.82,0.483033
2026-08-05T03:40:18.253294+00:00,Houston,KXHIGHTHOU-26AUG05-B94.5,0.37,0.38,2335.48,0.385031,0.62,0.63,2488.86,0.681058
2026-08-05T03:40:18.253294+00:00,Houston,KXHIGHTHOU-26AUG05-B100.5,,0.01,1595.82,0.107199,0.99,,0.0,
2026-08-05T03:40:18.253294+00:00,Houston,KXHIGHTHOU-26AUG04-T95,,0.01,2509.71,0.01,0.99,,0.0,
2026-08-05T03:40:18.253294+00:00,Houston,KXHIGHTHOU-26AUG04-T102,,0.01,1032.95,0.01,0.99,,0.0,
2026-08-05T03:40:18.253294+00:00,Houston,KXHIGHTHOU-26AUG04-B99.5,,0.01,1373.54,0.01,0.99,,0.0,
2026-08-05T03:40:18.253294+00:00,Houston,KXHIGHTHOU-26AUG04-B97.5,,0.01,1538.03,0.01,0.99,,0.0,
2026-08-05T03:40:18.253294+00:00,Houston,KXHIGHTHOU-26AUG04-B95.5,0.99,,0.0,,,0.01,1557.09,0.01
2026-08-05T03:40:18.253294+00:00,Houston,KXHIGHTHOU-26AUG04-B101.5,,0.01,1171.25,0.01,0.99,,0.0,
2026-08-05T06:47:52.597262+00:00,Houston,KXHIGHTHOU-26AUG05-T94,0.02,0.03,1743.77,0.112282,0.97,0.98,643.27,0.989344
2026-08-05T06:47:52.597262+00:00,Houston,KXHIGHTHOU-26AUG05-T101,,0.01,1770.24,0.030451,0.99,,0.0,
2026-08-05T06:47:52.597262+00:00,Houston,KXHIGHTHOU-26AUG05-B98.5,0.09,0.1,1556.09,0.236695,0.9,0.91,858.87,0.922008
2026-08-05T06:47:52.597262+00:00,Houston,KXHIGHTHOU-26AUG05-B96.5,0.55,0.56,2076.17,0.579713,0.44,0.45,1954.0,0.462446
2026-08-05T06:47:52.597262+00:00,Houston,KXHIGHTHOU-26AUG05-B94.5,0.35,0.36,2116.31,0.384831,0.64,0.65,2075.48,0.716685
2026-08-05T06:47:52.597262+00:00,Houston,KXHIGHTHOU-26AUG05-B100.5,,0.01,1535.79,0.168483,0.99,,0.0,
2026-08-05T09:57:41.888983+00:00,Houston,KXHIGHTHOU-26AUG06-T98,,,0.0,,,,0.0,
2026-08-05T09:57:41.888983+00:00,Houston,KXHIGHTHOU-26AUG06-T91,,,0.0,,,,0.0,
2026-08-05T09:57:41.888983+00:00,Houston,KXHIGHTHOU-26AUG06-B97.5,,,0.0,,,,0.0,
2026-08-05T09:57:41.888983+00:00,Houston,KXHIGHTHOU-26AUG06-B95.5,,,0.0,,,,0.0,
2026-08-05T09:57:41.888983+00:00,Houston,KXHIGHTHOU-26AUG06-B93.5,,,0.0,,,,0.0,
2026-08-05T09:57:41.888983+00:00,Houston,KXHIGHTHOU-26AUG06-B91.5,,,0.0,,,,0.0,
2026-08-05T09:57:41.888983+00:00,Houston,KXHIGHTHOU-26AUG05-T94,0.01,0.02,1707.42,0.138913,0.98,0.99,727.34,0.99
2026-08-05T09:57:41.888983+00:00,Houston,KXHIGHTHOU-26AUG05-T101,,0.01,1802.02,0.032256,0.99,,0.0,
2026-08-05T09:57:41.888983+00:00,Houston,KXHIGHTHOU-26AUG05-B98.5,0.07,0.11,1561.74,0.255138,0.89,0.93,873.76,0.96952
2026-08-05T09:57:41.888983+00:00,Houston,KXHIGHTHOU-26AUG05-B96.5,0.56,0.57,2107.75,0.604691,0.43,0.44,1933.04,0.491249
2026-08-05T09:57:41.888983+00:00,Houston,KXHIGHTHOU-26AUG05-B94.5,0.31,0.32,2000.79,0.387222,0.68,0.69,1834.93,0.733095
2026-08-05T09:57:41.888983+00:00,Houston,KXHIGHTHOU-26AUG05-B100.5,,0.01,1524.05,0.17261,0.99,,0.0,
2026-08-05T15:33:02.242925+00:00,Houston,KXHIGHTHOU-26AUG06-T98,0.02,0.03,1650.85,0.175004,0.97,0.98,21.73,
2026-08-05T15:33:02.242925+00:00,Houston,KXHIGHTHOU-26AUG06-T91,0.02,0.04,1636.22,0.135237,0.96,0.98,647.45,0.989901
2026-08-05T15:33:02.242925+00:00,Houston,KXHIGHTHOU-26AUG06-B97.5,0.11,0.15,1709.12,0.262395,0.85,0.89,897.73,0.917703
2026-08-05T15:33:02.242925+00:00,Houston,KXHIGHTHOU-26AUG06-B95.5,0.36,0.41,1834.26,0.438596,0.59,0.64,2281.24,0.668158
2026-08-05T15:33:02.242925+00:00,Houston,KXHIGHTHOU-26AUG06-B93.5,0.34,0.35,2010.18,0.439247,0.65,0.66,2384.32,0.676023
2026-08-05T15:33:02.242925+00:00,Houston,KXHIGHTHOU-26AUG06-B91.5,0.06,0.1,1789.79,0.164521,0.9,0.94,2835.37,0.964213
2026-08-05T15:33:02.242925+00:00,Houston,KXHIGHTHOU-26AUG05-T94,0.01,0.02,1220.98,0.123165,0.98,0.99,91.13,
2026-08-05T15:33:02.242925+00:00,Houston,KXHIGHTHOU-26AUG05-T101,,0.01,1159.9,0.026854,0.99,,0.0,
2026-08-05T15:33:02.242925+00:00,Houston,KXHIGHTHOU-26AUG05-B98.5,0.02,0.03,1296.25,0.145667,0.97,0.98,613.46,0.98
2026-08-05T15:33:02.242925+00:00,Houston,KXHIGHTHOU-26AUG05-B96.5,0.58,0.59,1471.42,0.616523,0.41,0.42,981.39,0.467111
2026-08-05T15:33:02.242925+00:00,Houston,KXHIGHTHOU-26AUG05-B94.5,0.37,0.38,1630.1,0.404534,0.62,0.63,983.84,0.638135
2026-08-05T15:33:02.242925+00:00,Houston,KXHIGHTHOU-26AUG05-B100.5,,0.01,1037.68,0.14657,0.99,,0.0,
2026-08-05T18:00:32.983215+00:00,Houston,KXHIGHTHOU-26AUG06-T98,0.01,0.02,1678.46,0.052171,0.98,0.99,93.5,
2026-08-05T18:00:32.983215+00:00,Houston,KXHIGHTHOU-26AUG06-T91,0.01,0.04,1619.49,0.132421,0.96,0.99,624.45,0.99
2026-08-05T18:00:32.983215+00:00,Houston,KXHIGHTHOU-26AUG06-B97.5,0.16,0.17,1815.46,0.270664,0.83,0.84,997.42,0.889294
2026-08-05T18:00:32.983215+00:00,Houston,KXHIGHTHOU-26AUG06-B95.5,0.43,0.44,1995.48,0.487409,0.56,0.57,2324.91,0.571829
2026-08-05T18:00:32.983215+00:00,Houston,KXHIGHTHOU-26AUG06-B93.5,0.36,0.37,2116.4,0.413813,0.63,0.64,2541.28,0.699927
2026-08-05T18:00:32.983215+00:00,Houston,KXHIGHTHOU-26AUG06-B91.5,0.03,0.05,1777.55,0.143017,0.95,0.97,1686.49,0.97
2026-08-05T18:00:32.983215+00:00,Houston,KXHIGHTHOU-26AUG05-T94,0.05,0.07,1213.79,0.164582,0.93,0.95,122.12,0.983704
2026-08-05T18:00:32.983215+00:00,Houston,KXHIGHTHOU-26AUG05-T101,,0.01,1081.56,0.037183,0.99,,0.0,
2026-08-05T18:00:32.983215+00:00,Houston,KXHIGHTHOU-26AUG05-B98.5,0.02,0.04,1217.73,0.178648,0.96,0.98,245.63,0.989307
2026-08-05T18:00:32.983215+00:00,Houston,KXHIGHTHOU-26AUG05-B96.5,0.26,0.27,1294.9,0.366268,0.73,0.74,476.0,0.765855
2026-08-05T18:00:32.983215+00:00,Houston,KXHIGHTHOU-26AUG05-B94.5,0.63,0.65,1384.08,0.709437,0.35,0.37,739.01,0.439446
2026-08-05T18:00:32.983215+00:00,Houston,KXHIGHTHOU-26AUG05-B100.5,,0.01,1140.68,0.087675,0.99,,0.0,
2026-08-05T20:00:40.937876+00:00,Houston,KXHIGHTHOU-26AUG06-T98,0.01,0.02,1707.96,0.052039,0.98,0.99,74.25,
2026-08-05T20:00:40.937876+00:00,Houston,KXHIGHTHOU-26AUG06-T91,0.02,0.04,1446.93,0.128764,0.96,0.98,625.38,0.989406
2026-08-05T20:00:40.937876+00:00,Houston,KXHIGHTHOU-26AUG06-B97.5,0.16,0.2,1829.54,0.268446,0.8,0.84,1117.56,0.877331
2026-08-05T20:00:40.937876+00:00,Houston,KXHIGHTHOU-26AUG06-B95.5,0.47,0.49,2074.82,0.500168,0.51,0.53,2415.36,0.562005
2026-08-05T20:00:40.937876+00:00,Houston,KXHIGHTHOU-26AUG06-B93.5,0.26,0.34,2073.01,0.384224,0.66,0.74,2712.58,0.740741
2026-08-05T20:00:40.937876+00:00,Houston,KXHIGHTHOU-26AUG06-B91.5,0.04,0.05,1742.11,0.144761,0.95,0.96,1708.35,0.979924
2026-08-05T20:00:40.937876+00:00,Houston,KXHIGHTHOU-26AUG05-T94,,0.01,2517.84,0.01,0.99,,0.0,
2026-08-05T20:00:40.937876+00:00,Houston,KXHIGHTHOU-26AUG05-T101,,0.01,1330.78,0.01,0.99,,0.0,
2026-08-05T20:00:40.937876+00:00,Houston,KXHIGHTHOU-26AUG05-B98.5,0.2,0.25,1209.19,0.300075,0.75,0.8,129.64,0.826595
2026-08-05T20:00:40.937876+00:00,Houston,KXHIGHTHOU-26AUG05-B96.5,0.71,0.84,230.73,0.845365,0.16,0.29,743.42,0.573628
2026-08-05T20:00:40.937876+00:00,Houston,KXHIGHTHOU-26AUG05-B94.5,,0.01,2496.16,0.01,0.99,,0.0,
2026-08-05T20:00:40.937876+00:00,Houston,KXHIGHTHOU-26AUG05-B100.5,,0.01,1201.93,0.136774,0.99,,0.0,
2026-08-05T21:38:35.507441+00:00,Houston,KXHIGHTHOU-26AUG06-T98,0.01,0.02,1533.44,0.051506,0.98,0.99,74.25,
2026-08-05T21:38:35.507441+00:00,Houston,KXHIGHTHOU-26AUG06-T91,0.01,0.03,1472.78,0.126732,0.97,0.99,618.13,0.99
2026-08-05T21:38:35.507441+00:00,Houston,KXHIGHTHOU-26AUG06-B97.5,0.15,0.16,1747.05,0.263624,0.84,0.85,1190.32,0.912087
2026-08-05T21:38:35.507441+00:00,Houston,KXHIGHTHOU-26AUG06-B95.5,0.47,0.48,1936.33,0.493572,0.52,0.53,2182.31,0.558554
2026-08-05T21:38:35.507441+00:00,Houston,KXHIGHTHOU-26AUG06-B93.5,0.31,0.36,1897.13,0.399303,0.64,0.69,2463.63,0.706019
2026-08-05T21:38:35.507441+00:00,Houston,KXHIGHTHOU-26AUG06-B91.5,0.04,0.06,1619.3,0.168502,0.94,0.96,2481.08,0.979217
2026-08-05T21:38:35.507441+00:00,Houston,KXHIGHTHOU-26AUG05-T94,,0.01,2475.75,0.01,0.99,,0.0,
2026-08-05T21:38:35.507441+00:00,Houston,KXHIGHTHOU-26AUG05-T101,,0.01,983.97,0.01,0.99,,0.0,
2026-08-05T21:38:35.507441+00:00,Houston,KXHIGHTHOU-26AUG05-B98.5,0.01,0.03,931.47,0.169849,0.97,0.99,8.91,
2026-08-05T21:38:35.507441+00:00,Houston,KXHIGHTHOU-26AUG05-B96.5,0.95,0.98,83.78,,0.02,0.05,493.92,0.279711
2026-08-05T21:38:35.507441+00:00,Houston,KXHIGHTHOU-26AUG05-B94.5,,0.01,2693.02,0.01,0.99,,0.0,
2026-08-05T21:38:35.507441+00:00,Houston,KXHIGHTHOU-26AUG05-B100.5,,0.01,907.03,0.016416,0.99,,0.0,
2026-08-05T23:24:24.320128+00:00,Houston,KXHIGHTHOU-26AUG06-T98,0.01,0.02,1688.85,0.052283,0.98,0.99,74.25,
2026-08-05T23:24:24.320128+00:00,Houston,KXHIGHTHOU-26AUG06-T91,0.01,0.04,1676.26,0.148547,0.96,0.99,624.07,0.99
2026-08-05T23:24:24.320128+00:00,Houston,KXHIGHTHOU-26AUG06-B97.5,0.15,0.16,1766.7,0.264115,0.84,0.85,1162.35,0.911088
2026-08-05T23:24:24.320128+00:00,Houston,KXHIGHTHOU-26AUG06-B95.5,0.44,0.47,2020.75,0.484999,0.53,0.56,2268.95,0.61004
2026-08-05T23:24:24.320128+00:00,Houston,KXHIGHTHOU-26AUG06-B93.5,0.34,0.36,2049.21,0.410277,0.64,0.66,2464.85,0.688423
2026-08-05T23:24:24.320128+00:00,Houston,KXHIGHTHOU-26AUG06-B91.5,0.04,0.05,1740.72,0.20169,0.95,0.96,1702.66,0.977849
2026-08-05T23:24:24.320128+00:00,Houston,KXHIGHTHOU-26AUG05-T94,,0.01,2413.04,0.01,0.99,,0.0,
2026-08-05T23:24:24.320128+00:00,Houston,KXHIGHTHOU-26AUG05-T101,,0.01,953.56,0.01,0.99,,0.0,
2026-08-05T23:24:24.320128+00:00,Houston,KXHIGHTHOU-26AUG05-B98.5,,0.01,1376.98,0.01,0.99,,0.0,
2026-08-05T23:24:24.320128+00:00,Houston,KXHIGHTHOU-26AUG05-B96.5,0.99,,0.0,,,0.01,944.78,0.01
2026-08-05T23:24:24.320128+00:00,Houston,KXHIGHTHOU-26AUG05-B94.5,,0.01,2680.67,0.01,0.99,,0.0,
2026-08-05T23:24:24.320128+00:00,Houston,KXHIGHTHOU-26AUG05-B100.5,,0.01,984.1,0.01,0.99,,0.0,
2026-08-06T03:42:30.894314+00:00,Houston,KXHIGHTHOU-26AUG06-T98,0.01,0.02,1875.79,0.050674,0.98,0.99,68.22,
2026-08-06T03:42:30.894314+00:00,Houston,KXHIGHTHOU-26AUG06-T91,0.01,0.02,1718.35,0.117049,0.98,0.99,569.62,0.99
2026-08-06T03:42:30.894314+00:00,Houston,KXHIGHTHOU-26AUG06-B97.5,0.18,0.19,1868.92,0.255024,0.81,0.82,1837.51,0.838793
2026-08-06T03:42:30.894314+00:00,Houston,KXHIGHTHOU-26AUG06-B95.5,0.54,0.56,2425.4,0.567673,0.44,0.46,2411.34,0.503751
2026-08-06T03:42:30.894314+00:00,Houston,KXHIGHTHOU-26AUG06-B93.5,0.27,0.28,2087.19,0.305449,0.72,0.73,2520.04,0.780407
2026-08-06T03:42:30.894314+00:00,Houston,KXHIGHTHOU-26AUG06-B91.5,0.02,0.06,1804.46,0.137532,0.94,0.98,1677.63,0.98
2026-08-06T03:42:30.894314+00:00,Houston,KXHIGHTHOU-26AUG05-T94,,0.01,2387.57,0.01,0.99,,0.0,
2026-08-06T03:42:30.894314+00:00,Houston,KXHIGHTHOU-26AUG05-T101,,0.01,999.0,0.01,0.99,,0.0,
2026-08-06T03:42:30.894314+00:00,Houston,KXHIGHTHOU-26AUG05-B98.5,,0.01,1403.77,0.01,0.99,,0.0,
2026-08-06T03:42:30.894314+00:00,Houston,KXHIGHTHOU-26AUG05-B96.5,0.99,,0.0,,,0.01,968.18,0.01
2026-08-06T03:42:30.894314+00:00,Houston,KXHIGHTHOU-26AUG05-B94.5,,0.01,2715.5,0.01,0.99,,0.0,
2026-08-06T03:42:30.894314+00:00,Houston,KXHIGHTHOU-26AUG05-B100.5,,0.01,1025.56,0.01,0.99,,0.0,
2026-08-06T06:52:38.706074+00:00,Houston,KXHIGHTHOU-26AUG06-T98,0.01,0.02,1754.74,0.051745,0.98,0.99,78.03,
2026-08-06T06:52:38.706074+00:00,Houston,KXHIGHTHOU-26AUG06-T91,0.01,0.02,1627.19,0.122052,0.98,0.99,584.45,0.99
2026-08-06T06:52:38.706074+00:00,Houston,KXHIGHTHOU-26AUG06-B97.5,0.2,0.21,1684.05,0.339991,0.79,0.8,1022.9,0.874112
2026-08-06T06:52:38.706074+00:00,Houston,KXHIGHTHOU-26AUG06-B95.5,0.59,0.61,1954.34,0.618516,0.39,0.41,2225.63,0.498968
2026-08-06T06:52:38.706074+00:00,Houston,KXHIGHTHOU-26AUG06-B93.5,0.19,0.22,2086.91,0.294018,0.78,0.81,2244.05,0.830604
2026-08-06T06:52:38.706074+00:00,Houston,KXHIGHTHOU-26AUG06-B91.5,0.03,0.04,1683.17,0.165793,0.96,0.97,1012.93,0.977654
2026-08-06T09:58:12.669320+00:00,Houston,KXHIGHTHOU-26AUG07-T99,,,0.0,,,,0.0,
2026-08-06T09:58:12.669320+00:00,Houston,KXHIGHTHOU-26AUG07-T92,,,0.0,,,,0.0,
2026-08-06T09:58:12.669320+00:00,Houston,KXHIGHTHOU-26AUG07-B98.5,,,0.0,,,,0.0,
2026-08-06T09:58:12.669320+00:00,Houston,KXHIGHTHOU-26AUG07-B96.5,,,0.0,,,,0.0,
2026-08-06T09:58:12.669320+00:00,Houston,KXHIGHTHOU-26AUG07-B94.5,,,0.0,,,,0.0,
2026-08-06T09:58:12.669320+00:00,Houston,KXHIGHTHOU-26AUG07-B92.5,,,0.0,,,,0.0,
